,YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
400500,2003.0,1.0,,,,1.0,,,,,,,,37.813717,-122.275585
400501,2003.0,,1.0,,,,,1.0,,,,,,37.81528,-122.281397
400502,2003.0,,1.0,,,,,1.0,,,,,,37.81528,-122.281397
400503,2003.0,,1.0,,,,,1.0,,,,,,37.815641,-122.269654
400504,2003.0,,1.0,,,,,,1.0,,,,,37.816874,-122.251177
400505,2003.0,,1.0,,,,,,,,,,,37.817434999999996,-122.262904
400506,2003.0,,1.0,,,,,1.0,,,,,,37.8193,-122.286524
400507,2003.0,1.0,,,1.0,,1.0,,,,,,,37.819907,-122.270954
400508,2003.0,,1.0,,,,,1.0,,,,,,37.821633,-122.25248500000001
400511,2003.0,1.0,,,,1.0,,,,,,,,37.832476,-122.253198
400512,2003.0,,1.0,,,,,,1.0,,,,,37.83597,-122.25843
400513,2003.0,,1.0,,,,,1.0,,,,,,37.838612,-122.28314099999999
400514,2003.0,,1.0,,,,,1.0,,,,,,37.839502,-122.255675
400515,2003.0,,1.0,,,,,,,,,,,37.843558,-122.251508
400516,2003.0,1.0,,,,1.0,,,,,,,,37.84704,-122.27748899999999
400517,2003.0,,1.0,,,,,1.0,,,,,,37.847268,-122.258931
400520,2003.0,,1.0,,,,,1.0,,,,,,37.794306,-122.21623600000001
400521,2003.0,,1.0,,,,,1.0,,,,,,37.79743,-122.204619
400522,2003.0,,1.0,,,,,1.0,,,,,,37.798373,-122.20925700000001
400523,2003.0,,1.0,,,,,1.0,,,,,,37.800847,-122.195633
400524,2003.0,1.0,,,,1.0,,,,,,,,37.800807,-122.21688600000002
400525,2003.0,1.0,,,,1.0,,,,,,,,37.805438,-122.209127
400526,2003.0,,1.0,,,,,1.0,,,,,,37.808659999999996,-122.18102900000001
400531,2003.0,,1.0,,,,,1.0,,,,,,37.8055,-122.18799999999999
400537,2003.0,1.0,,,1.0,,,,,,,,,37.7393,-122.169
400538,2003.0,,1.0,,,,,,1.0,,,,,37.789515,-122.148072
400539,2003.0,,1.0,,,,,,1.0,,,,,37.789660999999995,-122.22867600000001
400541,2003.0,1.0,,,1.0,,1.0,,,,,,,37.73417,-122.19431000000002
400542,2003.0,,1.0,,,,,,1.0,,,,,37.741463,-122.17591999999999
400543,2003.0,1.0,,,,1.0,,,,,,,,37.741698,-122.170704
400544,2003.0,,1.0,,,,,1.0,,,,,,37.744357,-122.18348
400545,2003.0,,1.0,,,,,1.0,,,,,,37.760560999999996,-122.212057
400546,2003.0,,1.0,,,,,,1.0,,,,,37.745665,-122.179602
400547,2003.0,,1.0,,,,,1.0,,,,,,37.74662,-122.17841999999999
400548,2003.0,,1.0,,,,,1.0,,,,,,37.748455,-122.19722800000001
400549,2003.0,,1.0,,,,,,1.0,,,,,37.74875,-122.17402
400550,2003.0,,1.0,,,,,1.0,,,,,,37.750236,-122.182069
400551,2003.0,1.0,,,1.0,,,,,,,,,37.750605,-122.16837
400552,2003.0,1.0,,,1.0,,,,,,,,,37.754227,-122.175426
400555,2003.0,,1.0,,,,,,,,,,,37.773139,-122.21830700000001
400556,2003.0,,1.0,,,,,1.0,,,,,,37.774549,-122.20657
400557,2003.0,,1.0,,,,,1.0,,,,,,37.763968,-122.22553700000002
400558,2003.0,,1.0,,,,,1.0,,,,,,37.78175,-122.22663899999999
400559,2003.0,,1.0,,,,,,1.0,,,,,37.784275,-122.214102
400560,2003.0,,1.0,,,,,,1.0,,,,,37.786138,-122.207029
400561,2003.0,,1.0,,,,,,1.0,,,,,37.786632,-122.20921000000001
400562,2003.0,,1.0,,,,,,1.0,,,,,37.788936,-122.199174
400563,2003.0,1.0,,,1.0,,,,,,,,,37.790739,-122.21888200000001
400564,2003.0,,1.0,,,,,1.0,,,,,,37.792072,-122.22164
400565,2003.0,,1.0,,,,,1.0,,,,,,37.792326,-122.208822
400566,2003.0,,1.0,,,,,,1.0,,,,,37.785205,-122.19481
400567,2003.0,,1.0,,,,,,1.0,,,,,37.74942,-122.16288
400568,2003.0,1.0,,,,1.0,,,,,,,,37.754047,-122.165554
400569,2003.0,,1.0,,,,,,1.0,,,,,37.759406,-122.161896
400570,2003.0,,1.0,,,,,,1.0,,,,,37.767643,-122.164998
400571,2003.0,1.0,,,,1.0,,,,,,,,37.795356,-122.27253300000001
400572,2003.0,,1.0,,,,,,1.0,,,,,37.798404,-122.23586100000001
400573,2003.0,,1.0,,,,,1.0,,,,,,37.80075,-122.24078999999999
400574,2003.0,,1.0,,,,,1.0,,,,,,37.800959999999996,-122.238525
400575,2003.0,,1.0,,,,,1.0,,,,,,37.802623,-122.25017700000001
400576,2003.0,1.0,,,,1.0,,,,,,,,37.80236,-122.276923
400577,2003.0,1.0,,,1.0,,,,,,,,,37.8055,-122.28813999999998
400578,2003.0,,1.0,,,,,,1.0,,,,,37.807971,-122.245856
